Date,Description,Amount
2023-04-01,Salary Deposit,2500.00
2023-04-03,Grocery Shopping,-110.25
2023-04-05,Gas Station Purchase,-28.75
2023-04-07,Online Shopping,-45.50
2023-04-08,Utilities Bill Payment,-80.00
2023-04-10,Medical Co-pay,-15.00
2023-04-12,Restaurant Lunch,-25.30
2023-04-14,Coffee Shop,-6.75
2023-04-16,Movie Night,-22.50
2023-04-17,Car Service,-85.00
2023-04-18,Salary Deposit,2500.00
2023-04-20,Bookstore Purchase,-20.50
2023-04-22,Gas Station Purchase,-33.20
2023-04-24,Dentist Appointment,-55.00
2023-04-26,Grocery Shopping,-95.80
2023-04-28,Concert Tickets,-60.00
2023-04-30,Phone Bill Payment,-52.00
